,Acres Burned,Latitude,Longitude,Incident Start,County,Cause Type,Start Date
1596,220.0,34.17363,-117.889503,2020-07-30T15:23:01Z,Los Angeles,Wildfire,2020-07-30
1597,233.0,35.14357,-118.7933,2020-07-30T16:14:47Z,Kern,Wildfire,2020-07-30
1598,33424.0,33.99139,-116.9617,2020-07-31T18:08:39Z,Riverside,Wildfire,2020-07-31
1599,684.0,40.34659,-121.6415,2020-08-01T16:39:21Z,Tehama,Wildfire,2020-08-01
1600,178.0,34.51853,-118.59699,2020-08-01T18:04:58Z,Los Angeles,Wildfire,2020-08-01
1601,2005.0,35.43128,-120.47346,2020-08-01T18:44:52Z,San Luis Obispo,Wildfire,2020-08-01
1602,36.0,38.686478,-121.103299,2020-08-02T09:12:41Z,El Dorado,Wildfire,2020-08-02
1603,52.0,33.924086,-116.641846,2020-08-02T15:11:20Z,Riverside,Wildfire,2020-08-02
1604,6882.0,40.36764,-120.44811,2020-08-02T16:51:26Z,Lassen,Wildfire,2020-08-02
1605,560.0,39.31313,-122.48525,2020-08-02T17:13:36Z,Colusa,Wildfire,2020-08-02
1606,120.0,34.04447,-118.21608,2020-08-02T20:49:07Z,Los Angeles,Wildfire,2020-08-02
1607,600.0,39.11307,-121.38178,2020-08-02T22:24:59Z,Yuba,Wildfire,2020-08-02
1608,200.0,34.3428,-118.49731,2020-08-03T15:45:29Z,Los Angeles,Wildfire,2020-08-03
1609,7760.0,35.43044,-118.53361,2020-08-03T17:33:03Z,Kern,Wildfire,2020-08-03
1610,594.0,36.90933,-119.2439,2020-08-04T09:44:14Z,Fresno,Wildfire,2020-08-04
1611,322.0,35.61521,-120.40457,2020-08-04T17:18:17Z,San Luis Obispo,Wildfire,2020-08-04
1612,277.0,34.93929,-118.92967,2020-08-06T08:24:00Z,Kern,Wildfire,2020-08-06
